# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionTimeUs,1761856724714000000,1761856784730000000,35952329
NonBlockingReadAction.finalizedExecutionsCount,1761856724714000000,1761856784730000000,212
FlushQueue.tasksExecuted,1761856724714000000,1761856784730000000,6999
AWTEventQueue.dispatchTimeAvgNs,1761856724714000000,1761856784730000000,1306306.531961099
FlushQueue.queueSize90P,1761856724714000000,1761856784730000000,69
ReadAction.executionsCount,1761856724714000000,1761856784730000000,117219
NonBlockingReadAction.failedExecutionsCount,1761856724714000000,1761856784730000000,131
NonBlockingReadAction.finalizedExecutionTimeUs,1761856724714000000,1761856784730000000,15564870
FlushQueue.executionTimeMaxNs,1761856724714000000,1761856784730000000,1367343103
AWTEventQueue.dispatchTime90PNs,1761856724714000000,1761856784730000000,1531903
FlushQueue.waitingTime90PNs,1761856724714000000,1761856784730000000,113246207
FlushQueue.queueSizeAvg,1761856724714000000,1761856784730000000,24.093727675382198
AWTEventQueue.dispatchTimeTotalNS,1761856724714000000,1761856784730000000,13838700642
AWTEventQueue.eventsDispatched,1761856724714000000,1761856784730000000,10591
FlushQueue.executionTime90PNs,1761856724714000000,1761856784730000000,303103
FlushQueue.executionTimeAvgNs,1761856724714000000,1761856784730000000,917408.7839691384
WriteAction.executionsCount,1761856724714000000,1761856784730000000,91
Indexes.stubs.lookupDurationMaxMs,1761856724714000000,1761856784730000000,0.0
Indexes.stubs.lookupDurationAvgMs,1761856724714000000,1761856784730000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1761856724714000000,1761856784730000000,490
Indexing.cache.totalCacheEvicted,1761856724714000000,1761856784730000000,1122670
Indexing.cache.totalCacheMisses,1761856724714000000,1761856784730000000,1122670
Indexes.stubs.lookups,1761856724714000000,1761856784730000000,0
Indexes.stubs.lookupDuration90PMs,1761856724714000000,1761856784730000000,0.0
Indexes.allKeys.lookupDuration90PMs,1761856724714000000,1761856784730000000,0.0
Indexing.writesQueuedMax,1761856724714000000,1761856784730000000,1663
Indexes.entries.lookupDuration90PMs,1761856724714000000,1761856784730000000,43.0
Indexing.writer_0.totalTimeSpentWritingMs,1761856724714000000,1761856784730000000,4789
Indexing.writesQueuedMin,1761856724714000000,1761856784730000000,0
Indexes.entries.lookupDurationAvgMs,1761856724714000000,1761856784730000000,13.1
Indexing.writer_1.totalTimeSpentWritingMs,1761856724714000000,1761856784730000000,3459
Indexing.cache.totalCacheAccesses,1761856724714000000,1761856784730000000,10604203
Indexing.writesQueuedAvg,1761856724714000000,1761856784730000000,83.8785046728972
Indexes.allKeys.lookupDurationMaxMs,1761856724714000000,1761856784730000000,0.0
Indexes.entries.lookups,1761856724714000000,1761856784730000000,10
Indexes.allKeys.lookupDurationAvgMs,1761856724714000000,1761856784730000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1761856724714000000,1761856784730000000,462
Indexing.totalTimeIndexersSleptMs,1761856724714000000,1761856784730000000,14296
Indexes.allKeys.lookups,1761856724714000000,1761856784730000000,1
Indexes.entries.lookupDurationMaxMs,1761856724714000000,1761856784730000000,67.0
model.items.0,1761856724714000000,1761856784730000000,12
sorting.time.0,1761856724714000000,1761856784730000000,11
reordered.by.ml,1761856724714000000,1761856784730000000,5
sorting.items.0,1761856724714000000,1761856784730000000,12
model.time.0,1761856724714000000,1761856784730000000,2
cacheStateStorage.set.counter,1761856724714000000,1761856784730000000,21
cacheStateStorage.get.duration,1761856724714000000,1761856784730000000,137
cacheStateStorage.get.counter,1761856724714000000,1761856784730000000,27
cacheStateStorage.set.duration,1761856724714000000,1761856784730000000,193
jps.load.initial.state.ms,1761856724714000000,1761856784730000000,13
jps.artifact.entities.serializer.save.entities.ms,1761856724714000000,1761856784730000000,0
workspaceModel.do.save.caches.ms,1761856724714000000,1761856784730000000,104
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761856724714000000,1761856784730000000,0
jps.library.entities.serializer.load.entities.ms,1761856724714000000,1761856784730000000,0
jps.storage.jps.conf.reader.load.component.ms,1761856724714000000,1761856784730000000,2
workspaceModel.load.cache.from.file.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761856724714000000,1761856784730000000,30
workspaceModel.global.updates.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761856724714000000,1761856784730000000,5
workspaceModel.global.updates.count,1761856724714000000,1761856784730000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761856724714000000,1761856784730000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761856724714000000,1761856784730000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761856724714000000,1761856784730000000,0
jps.project.serializers.save.ms,1761856724714000000,1761856784730000000,144
jps.module.iml.entities.serializer.load.entities.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761856724714000000,1761856784730000000,118
jps.global.get.libraries.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1761856724714000000,1761856784730000000,0
jps.global.handle.changed.events.ms,1761856724714000000,1761856784730000000,0
jps.app.storage.content.writer.save.component.ms,1761856724714000000,1761856784730000000,85
workspaceModel.moduleManagerBridge.newModule.ms,1761856724714000000,1761856784730000000,78
workspaceModel.mutableEntityStorage.entities.ms,1761856724714000000,1761856784730000000,1
jps.facet.change.listener.init.bridge.ms,1761856724714000000,1761856784730000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761856724714000000,1761856784730000000,0
workspaceModel.global.apply.state.to.project.ms,1761856724714000000,1761856784730000000,0
jps.global.initialize.library.bridges.ms,1761856724714000000,1761856784730000000,0
jps.facet.change.listener.process.change.events.ms,1761856724714000000,1761856784730000000,0
jps.global.handle.before.change.events.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.instances.count,1761856724714000000,1761856784730000000,35
jps.project.serializers.load.ms,1761856724714000000,1761856784730000000,3
jps.save.changed.project.entities.ms,1761856724714000000,1761856784730000000,146
workspaceModel.global.apply.state.to.project.builder.ms,1761856724714000000,1761856784730000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761856724714000000,1761856784730000000,9
jps.global.get.library.ms,1761856724714000000,1761856784730000000,0
jps.artifact.entities.serializer.load.entities.ms,1761856724714000000,1761856784730000000,0
jps.global.initialize.library.bridges.after.loading.ms,1761856724714000000,1761856784730000000,2
jps.apply.loaded.storage.ms,1761856724714000000,1761856784730000000,28
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761856724714000000,1761856784730000000,5
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761856724714000000,1761856784730000000,0
jps.global.get.library.by.name.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleBridge.update.option.ms,1761856724714000000,1761856784730000000,12
workspaceModel.mutableEntityStorage.put.entity.ms,1761856724714000000,1761856784730000000,17
workspaceModel.delayed.project.synchronizer.sync.ms,1761856724714000000,1761856784730000000,0
jps.facet.change.listener.before.change.events.ms,1761856724714000000,1761856784730000000,0
jps.app.storage.content.reader.load.component.ms,1761856724714000000,1761856784730000000,1
jps.modifiable.module.model.bridge.new.module.ms,1761856724714000000,1761856784730000000,23
jps.module.iml.entities.serializer.save.entities.ms,1761856724714000000,1761856784730000000,25
workspaceModel.moduleManagerBridge.load.module.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761856724714000000,1761856784730000000,5
jps.modifiable.module.model.bridge.renaming.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761856724714000000,1761856784730000000,0
jps.modifiable.module.model.bridge.disposing.ms,1761856724714000000,1761856784730000000,0
jps.reload.project.entities.ms,1761856724714000000,1761856784730000000,1
jps.modifiable.module.model.bridge.load.module.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761856724714000000,1761856784730000000,1
jps.library.entities.serializer.save.entities.ms,1761856724714000000,1761856784730000000,0
jps.save.global.entities.ms,1761856724714000000,1761856784730000000,111
workspaceModel.moduleManagerBridge.get.modules.ms,1761856724714000000,1761856784730000000,2
jps.load.project.to.empty.storage.ms,1761856724714000000,1761856784730000000,66
workspaceModel.orphan.listener.update.ms,1761856724714000000,1761856784730000000,3
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761856724714000000,1761856784730000000,0
workspaceModel.sync.entities.ms,1761856724714000000,1761856784730000000,0
workspaceModel.moduleBridge.before.changed.ms,1761856724714000000,1761856784730000000,0
workspaceModel.save.cache.to.file.ms,1761856724714000000,1761856784730000000,93
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761856724714000000,1761856784730000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1761856724714000000,1761856784730000000,1
workspaceModel.load.cache.metadata.from.file.ms,1761856724714000000,1761856784730000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761856724714000000,1761856784730000000,106
workspaceModel.mutableEntityStorage.referrers.ms,1761856724714000000,1761856784730000000,0
JVM.GC.collectionTimesMs,1761856724714000000,1761856784730000000,2153
JVM.usedHeapBytes,1761856724714000000,1761856784730000000,638866168
MEM.ramPlusSwapMinusFileMappingsBytes,1761856724714000000,1761856784730000000,2211639936
MEM.ramBytes,1761856724714000000,1761856784730000000,1108033536
JVM.maxHeapBytes,1761856724714000000,1761856784730000000,2147483648
JVM.usedNativeBytes,1761856724714000000,1761856784730000000,553422168
JVM.totalTimeAtSafepointsMs,1761856724714000000,1761856784730000000,2197
JVM.newThreadsCount,1761856724714000000,1761856784730000000,243
MEM.fileMappingsRamBytes,1761856724714000000,1761856784730000000,356499456
JVM.totalSafepointCount,1761856724714000000,1761856784730000000,635
JVM.GC.collections,1761856724714000000,1761856784730000000,231
JVM.totalTimeToSafepointsMs,1761856724714000000,1761856784730000000,191
JVM.totalDirectByteBuffersBytes,1761856724714000000,1761856784730000000,50670153
MEM.ramMinusFileMappingsBytes,1761856724714000000,1761856784730000000,751534080
JVM.totalCpuTimeMs,1761856724714000000,1761856784730000000,161819
OS.loadAverage,1761856724714000000,1761856784730000000,32.125
JVM.threadCount,1761856724714000000,1761856784730000000,162
JVM.totalBytesAllocated,1761856724714000000,1761856784730000000,24876530600
JVM.committedHeapBytes,1761856724714000000,1761856784730000000,937426944
JVM.maxThreadCount,1761856724714000000,1761856784730000000,170
DiskQueryRelay.tasksExecuted,1761856784730000000,1761856844727000000,34
DiskQueryRelay.taskExecutionTotalTimeUs,1761856784730000000,1761856844727000000,6286
DiskQueryRelay.tasksRequested,1761856784730000000,1761856844727000000,34
writeAction.count,1761856784730000000,1761856844727000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1761856784730000000,1761856844727000000,6336
writeAction.max.wait.ms,1761856784730000000,1761856844727000000,135
writeAction.median.wait.ms,1761856784730000000,1761856844727000000,300
writeAction.wait.ms,1761856784730000000,1761856844727000000,0
VFS.folderCaseSensitivityReads,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsStoredCompressed,1761856784730000000,1761856844727000000,0
VFS.fileByIdCache.hits,1761856784730000000,1761856844727000000,0
VFS.fileByIdCache.misses,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsRead,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsReadSize,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsDeduplicated,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsStored,1761856784730000000,1761856844727000000,0
VFS.invertedFileNameIndex.requests,1761856784730000000,1761856844727000000,0
FileNameCache.queries,1761856784730000000,1761856844727000000,448
VFS.contentStorage.recordsReadDecompressed,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsStoredSize,1761856784730000000,1761856844727000000,0
VFS.fileChildByName,1761856784730000000,1761856844727000000,0
VFS.contentStorage.recordsUncompressedSize,1761856784730000000,1761856844727000000,0
FileNameCache.totalMisses,1761856784730000000,1761856844727000000,0
workspaceModel.update.unloaded.entities.ms,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValue.clear.count,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.instances.count,1761856784730000000,1761856844727000000,0
workspaceModel.full.replace.project.model.ms,1761856784730000000,1761856844727000000,0
workspaceModel.replace.project.model.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761856784730000000,1761856844727000000,0
workspaceModel.initializing.ms,1761856784730000000,1761856844727000000,0
workspaceModel.on.changed.ms,1761856784730000000,1761856844727000000,0
workspaceModel.init.bridges.ms,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValue.calculated.count,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761856784730000000,1761856844727000000,0
workspaceModel.pre.handlers.ms,1761856784730000000,1761856844727000000,0
workspaceModel.updates.count,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.init.ms,1761856784730000000,1761856844727000000,0
workspaceModel.to.snapshot.ms,1761856784730000000,1761856844727000000,0
workspaceModel.loading.total.ms,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761856784730000000,1761856844727000000,0
workspaceModel.check.recursive.update.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1761856784730000000,1761856844727000000,0
workspaceModel.updates.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761856784730000000,1761856844727000000,0
workspaceModel.on.before.changed.ms,1761856784730000000,1761856844727000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValue.from.cache.count,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValue.total.get.count,1761856784730000000,1761856844727000000,0
workspaceModel.updates.precise.ms,1761856784730000000,1761856844727000000,0
workspaceModel.loading.from.cache.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761856784730000000,1761856844727000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1761856784730000000,1761856844727000000,0
workspaceModel.collect.changes.ms,1761856784730000000,1761856844727000000,0
workspaceModel.cachedValueWithParameters.clear.count,1761856784730000000,1761856844727000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761856784730000000,1761856844727000000,52445184
FilePageCache.pageLoads,1761856784730000000,1761856844727000000,0
StorageLockContext.competingThreads.max,1761856784730000000,1761856844727000000,0
DirectByteBufferAllocator.misses,1761856784730000000,1761856844727000000,0
FilePageCache.totalPageDisposalsUs,1761856784730000000,1761856844727000000,0
StreamlinedBlobStorage.recordsRelocated,1761856784730000000,1761856844727000000,0
FilePageCache.maxCacheSizeInBytes,1761856784730000000,1761856844727000000,289423360
StreamlinedBlobStorage.recordsDeleted,1761856784730000000,1761856844727000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761856784730000000,1761856844727000000,0
FilePageCache.uncachedFileAccess,1761856784730000000,1761856844727000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761856784730000000,1761856844727000000,512048
FilePageCache.pageLoadsAboveSizeThreshold,1761856784730000000,1761856844727000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761856784730000000,1761856844727000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761856784730000000,1761856844727000000,0
StreamlinedBlobStorage.recordsAllocated,1761856784730000000,1761856844727000000,0
FilePageCache.disposedBuffers,1761856784730000000,1761856844727000000,0
FilePageCache.pageFastCacheHits,1761856784730000000,1761856844727000000,0
FilePageCache.totalPageLoadsUs,1761856784730000000,1761856844727000000,0
DirectByteBufferAllocator.disposed,1761856784730000000,1761856844727000000,0
FilePageCache.pageHits,1761856784730000000,1761856844727000000,0
DirectByteBufferAllocator.hits,1761856784730000000,1761856844727000000,0
MappedFileStorage.storages,1761856784730000000,1761856844727000000,14
DirectByteBufferAllocator.reclaimed,1761856784730000000,1761856844727000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761856784730000000,1761856844727000000,11550720
StorageLockContext.competingThreads.avg,1761856784730000000,1761856844727000000,0.0
FilePageCache.maxRegisteredFiles,1761856784730000000,1761856844727000000,512
MappedFileStorage.totalPagesMapped,1761856784730000000,1761856844727000000,14
FilePageCache.capacityInBytes,1761856784730000000,1761856844727000000,629145600
MappedFileStorage.totalBytesMapped,1761856784730000000,1761856844727000000,194248704
StorageLockContext.competingThreads.90P,1761856784730000000,1761856844727000000,0
AWTEventQueue.dispatchTimeMaxNs,1761856784730000000,1761856844727000000,23592959
FlushQueue.queueSizeMax,1761856784730000000,1761856844727000000,5
FlushQueue.waitingTimeMaxNs,1761856784730000000,1761856844727000000,806911
FlushQueue.waitingTimeAvgNs,1761856784730000000,1761856844727000000,146429.3012048193
NonBlockingReadAction.failedExecutionTimeUs,1761856784730000000,1761856844727000000,0
NonBlockingReadAction.finalizedExecutionsCount,1761856784730000000,1761856844727000000,0
FlushQueue.tasksExecuted,1761856784730000000,1761856844727000000,83
AWTEventQueue.dispatchTimeAvgNs,1761856784730000000,1761856844727000000,555910.9600507292
